Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=execution
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-11 (label=6) | ETAwareCostBalanced | Off | 15695.000 | 1386.971669 | 0.789041 | 0.274645 | 0.062405 | 0.062405 | 0.643000 | 0.072111 | 25332 | 78103 | 12212 | 172 | 12312 | 72 | 46133 | 1662 | 0 | 0 | 44064 | 0 | 2491 | 41573 | 44064 | 63812 | 0 | 63812 | 5835 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalanced | On | 12637.000 | 2184.474317 | 0.622141 | 0.242003 | 0.051841 | 0.051841 | 0.690866 | 0.057081 | 25332 | 70333 | 8659 | 172 | 8759 | 72 | 32585 | 2668 | 3932 | 3932 | 47617 | 7495 | 178 | 39944 | 40122 | 107024 | 64750 | 42274 | 4951 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalancedMemoryAware | Off | 15835.000 | 4593.990121 | 0.782065 | 0.272217 | 0.061853 | 0.061853 | 0.642169 | 0.074932 | 25332 | 78384 | 12212 | 172 | 12312 | 72 | 45852 | 4432 | 0 | 0 | 44064 | 0 | 2491 | 41573 | 44064 | 63812 | 0 | 63812 | 5835 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalancedMemoryAware | On | 12819.000 | 4581.596135 | 0.613308 | 0.238567 | 0.051105 | 0.051105 | 0.693305 | 0.058292 | 25332 | 70496 | 8659 | 172 | 8759 | 72 | 32422 | 5076 | 3932 | 3932 | 47617 | 7495 | 178 | 39944 | 40122 | 107024 | 64750 | 42274 | 4951 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | BroadcastPhaseAwareFanoutBalanced | Off | 15301.000 | 817.280537 | 0.809359 | 0.281717 | 0.064012 | 0.064012 | 0.635283 | 0.077221 | 25332 | 77162 | 12212 | 172 | 12312 | 72 | 47074 | 823 | 0 | 0 | 44064 | 0 | 2491 | 41573 | 44064 | 63812 | 0 | 63812 | 5835 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | BroadcastPhaseAwareFanoutBalanced | On | 12479.000 | 693.592436 | 0.630018 | 0.245067 | 0.052497 | 0.052497 | 0.688234 | 0.056377 | 25332 | 69959 | 8659 | 172 | 8759 | 72 | 32959 | 1010 | 3932 | 3932 | 47617 | 7495 | 178 | 39944 | 40122 | 107024 | 64750 | 42274 | 4951 | 0.156445 | 0
extended-mnist-sample-18 (label=3) | OutputChannelModulo | Off | 17129.000 | 651.282331 | 0.882714 | 0.293090 | 0.069813 | 0.069813 | 0.604402 | 0.094576 | 25370 | 82158 | 14910 | 210 | 15048 | 72 | 58456 | 946 | 0 | 0 | 41328 | 0 | 2339 | 38989 | 41328 | 77910 | 0 | 77910 | 5539 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | OutputChannelModulo | On | 13877.000 | 553.729841 | 0.700944 | 0.255685 | 0.057755 | 0.057755 | 0.670718 | 0.065460 | 25370 | 73533 | 10571 | 210 | 10709 | 72 | 41047 | 1007 | 3830 | 3830 | 45667 | 8047 | 204 | 37416 | 37620 | 121771 | 69490 | 52281 | 4635 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | TaskRoundRobin | Off | 20058.000 | 702.957785 | 0.753814 | 0.250291 | 0.059619 | 0.059619 | 0.711046 | 0.030721 | 25370 | 90922 | 14910 | 210 | 15048 | 72 | 49692 | 63 | 0 | 0 | 41328 | 0 | 2339 | 38989 | 41328 | 77910 | 0 | 77910 | 5539 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | TaskRoundRobin | On | 15518.000 | 687.315940 | 0.626820 | 0.228647 | 0.051648 | 0.051648 | 0.737106 | 0.025363 | 25370 | 78564 | 10571 | 210 | 10709 | 72 | 36016 | 60 | 3830 | 3830 | 45667 | 8047 | 204 | 37416 | 37620 | 121771 | 69490 | 52281 | 4635 | 0.190990 | 0
